with,without
7.339431092681488,4.527048060633242
7.05738412814041,4.635560595393181
7.302542132193348,4.890431712567806
7.213221774341664,4.652367118932307
7.053162635358175,4.658270996361971
7.004335327388843,4.833587170429528
7.325236605310938,4.85029080118984
7.123452251756689,4.7093814086914065
7.372443597184619,4.628730261735618
7.342646012881896,3.906276533799578
7.416983473392328,3.727348089463306
6.988294634649654,4.09676954629202
7.186176205108067,4.896582695230139
7.36773552151223,4.842351068891585
7.315679341497025,4.935794831477105
7.225097179317972,4.791701422072947
7.125096035281321,4.933827499896288
7.060969295332333,4.5844041046127675
7.3035279077087845,4.540608990564943
7.31398699289014,4.7708912422508005
7.154548559541007,4.5384930234774945
7.305573913173875,4.936895518973469
7.027079449536403,4.764356168843806
7.189365309940776,4.759801392145455
7.172148157971105,4.692074669711292
7.176288178654512,4.6596489766612645
7.0835092442651595,4.986068285852671
7.123717135543128,4.880221980623901
7.063746362233659,4.6857592914626
7.400690701956054,4.702329112514853
7.001615297103426,4.871519740894437
7.296575947830578,4.89123042177409
6.962489218505224,4.626104413196445
7.40613183943381,4.860173681154847
7.142365562075874,4.896707910224795
7.178319287242492,4.62839547868818
7.010300594547888,4.990125083737075
6.95294162316074,4.810201760493219
7.298899745548269,4.8076482685655355
7.102335159609219,4.7475551177933815
7.193956074843308,4.772334245443344
7.2502186430041995,4.999017992317676
7.070620110014578,4.689901360794902
7.063938071223101,4.919588795192539
7.05906197504898,4.637541830651462
7.111767872141799,4.8826998347043995
7.241915062571069,4.793379476852715
7.082212660180529,4.633320337869227
7.271374741958579,4.584493029899895
7.201003621833523,4.9053943078219895
7.011420134509107,4.7036099542677405
7.324368932487568,4.9526012996956705
7.343932232687375,4.922803715392948
7.219964218156537,4.99714117590338
7.383353551419576,4.568452337160706
6.977670357355972,4.766333907619119
6.997015998529395,4.947893224023282
7.115249437781175,4.8958370440080765
7.163460069129368,4.805254881829024
7.41530997713854,4.705253737792373
7.2393021192570535,4.641126997843385
7.076402145752808,4.883685610219836
6.995263576375446,4.894144695401192
7.30757105259051,4.734706262052059
6.974816896224519,4.885731615684927
6.958478090817233,4.607237152047455
7.409169887730976,4.7695230124518275
7.137266533540687,4.752305860482156
7.016008274311324,4.756445881165564
7.012737726437052,4.663666946776211
7.0503086366673315,4.70387483805418
7.316710519211491,4.643904064744711
7.182929338010153,4.980848404467106
7.122642023468515,4.581772999614477
7.270227813961109,4.87673365034163
7.222800504433116,4.542646921016276
7.052750666158398,4.986289541944862
7.056389053853353,4.7225232645869255
7.078083830008408,4.758476989753544
7.023251915367445,4.59045829705894
6.94330242065539,4.533099325671792
7.277738698253533,4.879057448059321
7.222374602498611,4.682492862120271
7.037212282212575,4.774113777354359
7.288264913650354,4.830376345515251
7.362136353084942,4.65077781252563
7.26167200015684,4.644095773734152
6.950839577743908,4.639219677560032
6.944732479060193,4.691925574652851
6.963659111464521,4.822072765082121
7.404244963729878,4.662370362691581
7.239048511030277,4.851532444469631
7.1840545004402605,4.781161324344575
7.384226669350763,4.591577837020159
6.9631351259519665,4.90452663499862
7.186749072762331,4.924089935198427
7.360584738420447,4.800121920667589
7.263022244291505,4.963511253930628
7.090752013044557,4.557828059867024
7.349204865189394,4.577173701040447
7.336047808433076,4.695407140292227
7.410661740655204,4.7436177716404195
7.1133924337272845,4.995467679649591
7.012522943521043,4.819459821768105
7.2072839698736875,4.65655984826386
7.28773182237347,4.575421278886497
7.005776992717882,4.887728755101562
4.04104072692175,4.554974598735571
3.8203070285760288,4.538635793328285
4.406235998778833,4.989327590242028
4.923013939245832,4.717424236051738
5.626861661209953,4.596165976822376
6.396573114416791,4.592895428948104
6.858834627478612,4.630466339178383
7.56572546264459,4.896868221722543
7.674588378183544,4.763087040521205
7.640255148261786,4.702799725979567
7.953080489076674,4.850385516472161
7.630334802418947,4.802958206944168
7.988326688185334,4.63290836866945
7.539844164811075,4.636546756364405
7.54163450691849,4.65824153251946
7.6301319402456285,4.603409617878497
7.7871766049787405,4.5234601231664415
7.753432651907206,4.857896400764584
7.657700978778303,4.802532305009663
7.88278402980417,4.617369984723627
7.723226112984121,4.868422616161406
7.6442707720026375,4.942294055595994
7.562057759203017,4.841829702667892
7.959631866291165,4.53099728025496
7.622787491492927,4.524890181571245
7.558837667703629,4.543816813975573
7.765783165059983,4.98440266624093
7.817573284581304,4.819206213541329
7.677664292007685,4.764212202951312
7.996949129514396,4.964384371861815
7.7025877800583835,4.543292828463018
